date,symbol,contract,contract_month,session,open,high,low,close,volume,open_interest,settlement,source_file
2015-01-05,MTX,MTX,201501,regular,9243.0,9276.0,9156.0,9251.0,68927.0,22021.0,9250.0,2015_fut.csv
2015-01-05,MTX,MTX,201501W1,regular,9193.0,9277.0,9177.0,9251.0,122.0,113.0,9251.0,2015_fut.csv
2015-01-05,MTX,MTX,201502,regular,9238.0,9272.0,9155.0,9247.0,3465.0,3323.0,9245.0,2015_fut.csv
2015-01-05,MTX,MTX,201503,regular,9244.0,9268.0,9155.0,9241.0,689.0,2707.0,9244.0,2015_fut.csv
2015-01-05,MTX,MTX,201506,regular,9232.0,9250.0,9139.0,9226.0,401.0,2202.0,9227.0,2015_fut.csv
2015-01-05,MTX,MTX,201509,regular,8999.0,9015.0,8900.0,8989.0,207.0,910.0,8998.0,2015_fut.csv
2015-01-06,MTX,MTX,201501,regular,9147.0,9153.0,9018.0,9056.0,82393.0,20985.0,9058.0,2015_fut.csv
2015-01-06,MTX,MTX,201501W1,regular,9172.0,9172.0,9036.0,9066.0,268.0,207.0,9066.0,2015_fut.csv
2015-01-06,MTX,MTX,201502,regular,9147.0,9149.0,9014.0,9054.0,5083.0,3651.0,9054.0,2015_fut.csv
2015-01-06,MTX,MTX,201503,regular,9140.0,9144.0,9015.0,9046.0,1317.0,2617.0,9050.0,2015_fut.csv
2015-01-06,MTX,MTX,201506,regular,9150.0,9150.0,8995.0,9032.0,616.0,2087.0,9032.0,2015_fut.csv
2015-01-06,MTX,MTX,201509,regular,8905.0,8905.0,8760.0,8799.0,401.0,1138.0,8794.0,2015_fut.csv
2015-01-07,MTX,MTX,201501,regular,9043.0,9093.0,9033.0,9046.0,54274.0,21082.0,9044.0,2015_fut.csv
2015-01-07,MTX,MTX,201501W1,regular,9063.0,9166.0,9041.0,9095.0,304.0,183.0,0.0,2015_fut.csv
2015-01-07,MTX,MTX,201501W2,regular,9070.0,9088.0,9050.0,9070.0,35.0,25.0,9070.0,2015_fut.csv
2015-01-07,MTX,MTX,201502,regular,9033.0,9088.0,9029.0,9042.0,2788.0,4036.0,9040.0,2015_fut.csv
2015-01-07,MTX,MTX,201503,regular,9038.0,9082.0,9025.0,9039.0,524.0,2543.0,9035.0,2015_fut.csv
2015-01-07,MTX,MTX,201506,regular,9020.0,9068.0,9011.0,9020.0,229.0,2136.0,9017.0,2015_fut.csv
2015-01-07,MTX,MTX,201509,regular,8785.0,8828.0,8772.0,8781.0,160.0,1194.0,8789.0,2015_fut.csv
2015-01-08,MTX,MTX,201501,regular,9115.0,9259.0,9115.0,9258.0,70059.0,21179.0,9256.0,2015_fut.csv
2015-01-08,MTX,MTX,201501W2,regular,9122.0,9256.0,9122.0,9255.0,181.0,96.0,9255.0,2015_fut.csv
2015-01-08,MTX,MTX,201502,regular,9117.0,9255.0,9112.0,9253.0,5234.0,3792.0,9253.0,2015_fut.csv
2015-01-08,MTX,MTX,201503,regular,9112.0,9248.0,9110.0,9248.0,1058.0,2621.0,9246.0,2015_fut.csv
2015-01-08,MTX,MTX,201506,regular,9095.0,9230.0,9091.0,9228.0,581.0,2348.0,9230.0,2015_fut.csv
2015-01-08,MTX,MTX,201509,regular,8849.0,8993.0,8849.0,8992.0,324.0,1114.0,8990.0,2015_fut.csv
2015-01-09,MTX,MTX,201501,regular,9333.0,9335.0,9218.0,9231.0,66147.0,20932.0,9230.0,2015_fut.csv
2015-01-09,MTX,MTX,201501W2,regular,9313.0,9341.0,9223.0,9225.0,184.0,105.0,9224.0,2015_fut.csv
2015-01-09,MTX,MTX,201502,regular,9325.0,9331.0,9220.0,9228.0,3655.0,4361.0,9230.0,2015_fut.csv
2015-01-09,MTX,MTX,201503,regular,9313.0,9323.0,9215.0,9225.0,759.0,2736.0,9227.0,2015_fut.csv
2015-01-09,MTX,MTX,201506,regular,9309.0,9309.0,9202.0,9208.0,321.0,2356.0,9208.0,2015_fut.csv
2015-01-09,MTX,MTX,201509,regular,9071.0,9071.0,8962.0,8967.0,251.0,1137.0,8971.0,2015_fut.csv
2015-01-12,MTX,MTX,201501,regular,9188.0,9239.0,9158.0,9186.0,60912.0,20376.0,9185.0,2015_fut.csv
2015-01-12,MTX,MTX,201501W2,regular,9185.0,9242.0,9160.0,9184.0,224.0,114.0,9184.0,2015_fut.csv
2015-01-12,MTX,MTX,201502,regular,9190.0,9239.0,9158.0,9183.0,3858.0,4696.0,9183.0,2015_fut.csv
2015-01-12,MTX,MTX,201503,regular,9182.0,9232.0,9154.0,9182.0,552.0,2830.0,9179.0,2015_fut.csv
2015-01-12,MTX,MTX,201506,regular,9183.0,9210.0,9140.0,9163.0,268.0,2377.0,9160.0,2015_fut.csv
2015-01-12,MTX,MTX,201509,regular,8930.0,8976.0,8900.0,8924.0,168.0,1181.0,8920.0,2015_fut.csv
2015-01-13,MTX,MTX,201501,regular,9191.0,9275.0,9159.0,9252.0,70757.0,20701.0,9250.0,2015_fut.csv
2015-01-13,MTX,MTX,201501W2,regular,9208.0,9262.0,9165.0,9249.0,329.0,114.0,9248.0,2015_fut.csv
2015-01-13,MTX,MTX,201502,regular,9192.0,9274.0,9160.0,9253.0,5369.0,4800.0,9251.0,2015_fut.csv
2015-01-13,MTX,MTX,201503,regular,9188.0,9269.0,9156.0,9249.0,722.0,2837.0,9248.0,2015_fut.csv
2015-01-13,MTX,MTX,201506,regular,9160.0,9255.0,9140.0,9235.0,375.0,2383.0,9234.0,2015_fut.csv
