rollover_date,old_contract,new_contract,reason,old_volume,new_volume,old_open_interest,new_open_interest
2015-01-21,201501,201502,daily_max(open_interest),59714.0,33264.0,13998.0,18092.0
2015-02-24,201502,201503,daily_max(open_interest),36215.0,25495.0,11998.0,16574.0
2015-03-18,201503,201504,daily_max(open_interest),55820.0,37111.0,12233.0,20929.0
2015-04-15,201504,201505,daily_max(open_interest),37213.0,52894.0,13343.0,21451.0
2015-05-20,201505,201506,daily_max(open_interest),57452.0,36729.0,22121.0,26221.0
2015-06-17,201506,201507,daily_max(open_interest),58862.0,36916.0,20969.0,21439.0
2015-07-15,201507,201508,daily_max(open_interest),67789.0,47513.0,13209.0,15099.0
2015-08-19,201508,201509,daily_max(open_interest),68089.0,57031.0,18502.0,22874.0
2015-09-16,201509,201510,daily_max(open_interest),81925.0,52428.0,18479.0,14155.0
2015-10-21,201510,201511,daily_max(open_interest),43099.0,41227.0,19785.0,16279.0
2015-11-18,201511,201512,daily_max(open_interest),87818.0,49678.0,23220.0,19976.0
2015-12-16,201512,201601,daily_max(open_interest),79936.0,54805.0,14426.0,16125.0
2016-01-20,201601,201602,daily_max(open_interest),100331.0,86943.0,19789.0,16184.0
2016-02-16,201602,201603,daily_max(open_interest),77751.0,23537.0,14475.0,16237.0
2016-03-16,201603,201604,daily_max(open_interest),87353.0,39692.0,17338.0,21365.0
2016-04-20,201604,201605,daily_max(open_interest),86280.0,73307.0,19331.0,19883.0
2016-05-18,201605,201606,daily_max(open_interest),92928.0,52361.0,17799.0,21783.0
2016-06-15,201606,201607,daily_max(open_interest),65600.0,56591.0,23202.0,19062.0
2016-07-20,201607,201608,daily_max(open_interest),68625.0,47530.0,24464.0,18632.0
2016-08-17,201608,201609,daily_max(open_interest),87066.0,39195.0,24212.0,19892.0
2016-09-21,201609,201610,daily_max(open_interest),54631.0,39404.0,19599.0,19918.0
2016-10-19,201610,201611,daily_max(open_interest),75259.0,41862.0,21007.0,27334.0
2016-11-16,201611,201612,daily_max(open_interest),83006.0,44035.0,15173.0,19592.0
2016-12-21,201612,201701,daily_max(open_interest),62335.0,34306.0,17369.0,16551.0
2017-01-18,201701,201702,daily_max(open_interest),45244.0,26470.0,14650.0,17073.0
2017-02-14,201702,201703,daily_max(open_interest),50604.0,22321.0,27235.0,20561.0
