rollover_date,old_contract,new_contract,reason,old_volume,new_volume,old_open_interest,new_open_interest
2015-01-05,,201501,initial,,68927.0,,22021.0
2015-01-22,,201502,expired,,59567.0,,21884.0
2015-02-25,,201503,expired,,35712.0,,20337.0
2015-03-19,,201504,expired,,53673.0,,25629.0
2015-04-16,,201505,expired,,67101.0,,21886.0
2015-05-21,,201506,expired,,73345.0,,32600.0
2015-06-18,,201507,expired,,62066.0,,23438.0
2015-07-16,,201508,expired,,88700.0,,18075.0
2015-08-20,,201509,expired,,127370.0,,24311.0
2015-09-17,,201510,expired,,101908.0,,19578.0
2015-10-22,,201511,expired,,72841.0,,19838.0
2015-11-19,,201512,expired,,110583.0,,19805.0
2015-12-17,,201601,expired,,102766.0,,20850.0
2016-01-21,,201602,expired,,149029.0,,17244.0
2016-02-18,,201603,expired,,91640.0,,22934.0
2016-03-17,,201604,expired,,115424.0,,23520.0
2016-04-21,,201605,expired,,90558.0,,22348.0
2016-05-19,,201606,expired,,106669.0,,25114.0
2016-06-16,,201607,expired,,118006.0,,24172.0
2016-07-21,,201608,expired,,79688.0,,22498.0
2016-08-18,,201609,expired,,78315.0,,24498.0
2016-09-22,,201610,expired,,95777.0,,23183.0
2016-10-20,,201611,expired,,77828.0,,31218.0
2016-11-17,,201612,expired,,96936.0,,21725.0
2016-12-22,,201701,expired,,85029.0,,23195.0
2017-01-19,,201702,expired,,75599.0,,19871.0
2017-02-16,,201703,expired,,97741.0,,32397.0
2017-03-16,,201704,expired,,80685.0,,23262.0
2017-04-20,,201705,expired,,80186.0,,25234.0
2017-05-18,,201706,expired,,90193.0,,32933.0
2017-06-22,,201707,expired,,76043.0,,25033.0
2017-07-20,,201708,expired,,64458.0,,20151.0
2017-08-17,,201709,expired,,87001.0,,30696.0
2017-09-21,,201710,expired,,87582.0,,24618.0
2017-10-19,,201711,expired,,75558.0,,28888.0
2017-11-16,,201712,expired,,63967.0,,29419.0
2017-12-21,,201801,expired,,79609.0,,24072.0
2018-01-18,,201802,expired,,110708.0,,27292.0
2018-02-22,,201803,expired,,86163.0,,22436.0
2018-03-22,,201804,expired,,148244.0,,24480.0
2018-04-19,,201805,expired,,107182.0,,31096.0
2018-05-17,,201806,expired,,96168.0,,27068.0
2018-06-21,,201807,expired,,97207.0,,24894.0
2018-07-19,,201808,expired,,107495.0,,25238.0
2018-08-16,,201809,expired,,119298.0,,28792.0
2018-09-20,,201810,expired,,108984.0,,28085.0
2018-10-18,,201811,expired,,127745.0,,23418.0
2018-11-22,,201812,expired,,86160.0,,22274.0
2018-12-20,,201901,expired,,121108.0,,24266.0
2019-01-17,,201902,expired,,124901.0,,28592.0
2019-02-21,,201903,expired,,79032.0,,38888.0
2019-03-21,,201904,expired,,73067.0,,37121.0
2019-04-18,,201905,expired,,100393.0,,30367.0
2019-05-16,,201906,expired,,133880.0,,24541.0
2019-06-20,,201907,expired,,65579.0,,27147.0
2019-07-18,,201908,expired,,63670.0,,22814.0
2019-08-22,,201909,expired,,91113.0,,24833.0
2019-09-19,,201910,expired,,75636.0,,26361.0
2019-10-17,,201911,expired,,48737.0,,32116.0
2019-11-21,,201912,expired,,113729.0,,26537.0
2019-12-19,,202001,expired,,84925.0,,26269.0
2020-01-16,,202002,expired,,95484.0,,24570.0
2020-02-20,,202003,expired,,141189.0,,24882.0
2020-03-19,,202004,expired,,429352.0,,24247.0
2020-04-16,,202005,expired,,154349.0,,25748.0
2020-05-21,,202006,expired,,149004.0,,28088.0
2020-06-18,,202007,expired,,156867.0,,24068.0
2020-07-16,,202008,expired,,162313.0,,24588.0
2020-08-20,,202009,expired,,302477.0,,37071.0
2020-09-17,,202010,expired,,153760.0,,35995.0
2020-10-22,,202011,expired,,141480.0,,31524.0
2020-11-19,,202012,expired,,130272.0,,37435.0
2020-12-17,,202101,expired,,162555.0,,29689.0
2021-01-21,,202102,expired,,313694.0,,32225.0
2021-02-18,,202103,expired,,220255.0,,35762.0
2021-03-18,,202104,expired,,208417.0,,39312.0
2021-04-22,,202105,expired,,275723.0,,41502.0
2021-05-20,,202106,expired,,294859.0,,40439.0
2021-06-17,,202107,expired,,174391.0,,36488.0
2021-07-22,,202108,expired,,202778.0,,36310.0
2021-08-19,,202109,expired,,312680.0,,38723.0
2021-09-16,,202110,expired,,173623.0,,29561.0
2021-10-21,,202111,expired,,202732.0,,33611.0
2021-11-18,,202112,expired,,133881.0,,38816.0
2021-12-16,,202201,expired,,144763.0,,38517.0
2022-01-20,,202202,expired,,195321.0,,40131.0
2022-02-17,,202203,expired,,197453.0,,41842.0
2022-03-17,,202204,expired,,205037.0,,46503.0
2022-04-21,,202205,expired,,153138.0,,40686.0
2022-05-19,,202206,expired,,186588.0,,42140.0
2022-06-16,,202207,expired,,220568.0,,46408.0
2022-07-21,,202208,expired,,178593.0,,32901.0
2022-08-18,,202209,expired,,123652.0,,35095.0
2022-09-22,,202210,expired,,177707.0,,40074.0
2022-10-20,,202211,expired,,247809.0,,36430.0
2022-11-17,,202212,expired,,173685.0,,35589.0
2022-12-22,,202301,expired,,136173.0,,44879.0
2023-01-31,,202302,expired,,109792.0,,34070.0
2023-02-16,,202303,expired,,138836.0,,38999.0
2023-03-16,,202304,expired,,209582.0,,38765.0
2023-04-20,,202305,expired,,173253.0,,38231.0
2023-05-18,,202306,expired,,145273.0,,48965.0
2023-06-26,,202307,expired,,109676.0,,38081.0
2023-07-20,,202308,expired,,141361.0,,35534.0
2023-08-17,,202309,expired,,216787.0,,41560.0
2023-09-21,,202310,expired,,164002.0,,56691.0
2023-10-19,,202311,expired,,128611.0,,44360.0
2023-11-16,,202312,expired,,116017.0,,41203.0
2023-12-21,,202401,expired,,111969.0,,45780.0
2024-01-18,,202402,expired,,142228.0,,44558.0
2024-02-22,,202403,expired,,133827.0,,42802.0
2024-03-21,,202404,expired,,153888.0,,49956.0
2024-04-18,,202405,expired,,197267.0,,39343.0
2024-05-16,,202406,expired,,192890.0,,41399.0
2024-06-20,,202407,expired,,156049.0,,41615.0
2024-07-18,,202408,expired,,247279.0,,51576.0
2024-08-22,,202409,expired,,139858.0,,36800.0
2024-09-19,,202410,expired,,150001.0,,35067.0
2024-10-17,,202411,expired,,141906.0,,34329.0
2024-11-21,,202412,expired,,147283.0,,42231.0
2024-12-19,,202501,expired,,136833.0,,36864.0
2025-01-16,,202502,expired,,129782.0,,39132.0
2025-02-20,,202503,expired,,117942.0,,33237.0
2025-03-20,,202504,expired,,125586.0,,43660.0
2025-04-17,,202505,expired,,157931.0,,23981.0
2025-05-22,,202506,expired,,94706.0,,27852.0
2025-06-19,,202507,expired,,98240.0,,28264.0
2025-07-17,,202508,expired,,106832.0,,28941.0
2025-08-21,,202509,expired,,115938.0,,36632.0
2025-09-18,,202510,expired,,110204.0,,35920.0
2025-10-16,,202511,expired,,165281.0,,31129.0
2025-11-20,,202512,expired,,159027.0,,32737.0
2025-12-18,,202601,expired,,124581.0,,35892.0
2026-01-22,,202602,expired,,138979.0,,30539.0
2026-02-24,,202603,expired,,146286.0,,32125.0
2026-03-19,,202604,expired,,129783.0,,30913.0
2026-04-16,,202605,expired,,119543.0,,25274.0
2026-05-21,,202606,expired,,114875.0,,30578.0
2026-06-18,,202607,expired,,135518.0,,28906.0
