rollover_date,old_contract,new_contract,reason,old_volume,new_volume,old_open_interest,new_open_interest
2015-01-21,201501,201502,daily_max(volume),59714.0,33264.0,13998.0,18092.0
2015-02-24,201502,201503,daily_max(volume),36215.0,25495.0,11998.0,16574.0
2015-03-18,201503,201504,daily_max(volume),55820.0,37111.0,12233.0,20929.0
2015-04-15,201504,201505,daily_max(volume),37213.0,52894.0,13343.0,21451.0
2015-05-20,201505,201506,daily_max(volume),57452.0,36729.0,22121.0,26221.0
2015-06-17,201506,201507,daily_max(volume),58862.0,36916.0,20969.0,21439.0
2015-07-16,201507,201508,daily_max(volume),48174.0,88700.0,7844.0,18075.0
2015-08-20,201508,201509,daily_max(volume),59572.0,127370.0,7996.0,24311.0
2015-09-17,201509,201510,daily_max(volume),54195.0,101908.0,6810.0,19578.0
2015-10-22,201510,201511,daily_max(volume),42969.0,72841.0,7143.0,19838.0
2015-11-18,201511,201512,daily_max(volume),87818.0,49678.0,23220.0,19976.0
2015-12-16,201512,201601,daily_max(volume),79936.0,54805.0,14426.0,16125.0
2016-01-20,201601,201602,daily_max(volume),100331.0,86943.0,19789.0,16184.0
2016-02-17,201602,201603,daily_max(volume),82697.0,47720.0,12977.0,20479.0
2016-03-16,201603,201604,daily_max(volume),87353.0,39692.0,17338.0,21365.0
2016-04-20,201604,201605,daily_max(volume),86280.0,73307.0,19331.0,19883.0
2016-05-18,201605,201606,daily_max(volume),92928.0,52361.0,17799.0,21783.0
2016-06-15,201606,201607,daily_max(volume),65600.0,56591.0,23202.0,19062.0
2016-07-21,201607,201608,daily_max(volume),51012.0,79688.0,9962.0,22498.0
2016-08-18,201608,201609,daily_max(volume),42434.0,78315.0,8707.0,24498.0
2016-09-22,201609,201610,daily_max(volume),42530.0,95777.0,10403.0,23183.0
2016-10-20,201610,201611,daily_max(volume),47543.0,77828.0,8335.0,31218.0
2016-11-17,201611,201612,daily_max(volume),53893.0,96936.0,8769.0,21725.0
2016-12-22,201612,201701,daily_max(volume),38016.0,85029.0,9606.0,23195.0
2017-01-19,201701,201702,daily_max(volume),32771.0,75599.0,8641.0,19871.0
2017-02-16,201702,201703,daily_max(volume),43302.0,97741.0,11139.0,32397.0
2017-03-16,201703,201704,daily_max(volume),45295.0,80685.0,10470.0,23262.0
2017-04-20,201704,201705,daily_max(volume),62086.0,80186.0,7367.0,25234.0
2017-05-18,201705,201706,daily_max(volume),46295.0,90193.0,8437.0,32933.0
2017-06-22,201706,201707,daily_max(volume),46994.0,76043.0,17037.0,25033.0
2017-07-20,201707,201708,daily_max(volume),49511.0,64458.0,8743.0,20151.0
2017-08-17,201708,201709,daily_max(volume),59343.0,87001.0,7823.0,30696.0
2017-09-21,201709,201710,daily_max(volume),62819.0,87582.0,15442.0,24618.0
2017-10-19,201710,201711,daily_max(volume),54994.0,75558.0,10264.0,28888.0
2017-11-16,201711,201712,daily_max(volume),55518.0,63967.0,11930.0,29419.0
2017-12-21,201712,201801,daily_max(volume),53959.0,79609.0,13250.0,24072.0
2018-01-18,201801,201802,daily_max(volume),52737.0,110708.0,9666.0,27292.0
2018-02-22,201802,201803,daily_max(volume),57231.0,86163.0,10757.0,22436.0
2018-03-22,201803,201804,daily_max(volume),56362.0,148244.0,10964.0,24480.0
2018-04-19,201804,201805,daily_max(volume),82910.0,107182.0,9135.0,31096.0
2018-05-17,201805,201806,daily_max(volume),59913.0,96168.0,13256.0,27068.0
2018-06-21,201806,201807,daily_max(volume),75798.0,97207.0,7954.0,24894.0
2018-07-19,201807,201808,daily_max(volume),69522.0,107495.0,9661.0,25238.0
2018-08-16,201808,201809,daily_max(volume),84231.0,119298.0,15740.0,28792.0
2018-09-20,201809,201810,daily_max(volume),52241.0,108984.0,13041.0,28085.0
2018-10-18,201810,201811,daily_max(volume),90145.0,127745.0,9432.0,23418.0
2018-11-22,201811,201812,daily_max(volume),78960.0,86160.0,8089.0,22274.0
2018-12-20,201812,201901,daily_max(volume),55558.0,121108.0,10926.0,24266.0
2019-01-17,201901,201902,daily_max(volume),52280.0,124901.0,9789.0,28592.0
2019-02-21,201902,201903,daily_max(volume),58866.0,79032.0,14130.0,38888.0
2019-03-21,201903,201904,daily_max(volume),43420.0,73067.0,14462.0,37121.0
2019-04-18,201904,201905,daily_max(volume),48442.0,100393.0,12224.0,30367.0
2019-05-16,201905,201906,daily_max(volume),68970.0,133880.0,16661.0,24541.0
2019-06-20,201906,201907,daily_max(volume),69391.0,65579.0,11312.0,27147.0
2019-07-18,201907,201908,daily_max(volume),61678.0,63670.0,10122.0,22814.0
2019-08-22,201908,201909,daily_max(volume),46571.0,91113.0,10477.0,24833.0
2019-09-19,201909,201910,daily_max(volume),46530.0,75636.0,14588.0,26361.0
2019-10-17,201910,201911,daily_max(volume),51570.0,48737.0,10513.0,32116.0
2019-11-21,201911,201912,daily_max(volume),47739.0,113729.0,11890.0,26537.0
2019-12-19,201912,202001,daily_max(volume),44561.0,84925.0,14760.0,26269.0
2020-01-16,202001,202002,daily_max(volume),73538.0,95484.0,10363.0,24570.0
2020-02-20,202002,202003,daily_max(volume),81534.0,141189.0,14756.0,24882.0
2020-03-19,202003,202004,daily_max(volume),174764.0,429352.0,9763.0,24247.0
2020-04-16,202004,202005,daily_max(volume),88539.0,154349.0,10518.0,25748.0
2020-05-21,202005,202006,daily_max(volume),86562.0,149004.0,13027.0,28088.0
2020-06-18,202006,202007,daily_max(volume),88883.0,156867.0,13348.0,24068.0
2020-07-16,202007,202008,daily_max(volume),88881.0,162313.0,15861.0,24588.0
2020-08-20,202008,202009,daily_max(volume),92951.0,302477.0,14657.0,37071.0
2020-09-17,202009,202010,daily_max(volume),84432.0,153760.0,18744.0,35995.0
2020-10-22,202010,202011,daily_max(volume),75128.0,141480.0,17031.0,31524.0
2020-11-19,202011,202012,daily_max(volume),86686.0,130272.0,14726.0,37435.0
2020-12-17,202012,202101,daily_max(volume),95401.0,162555.0,22418.0,29689.0
2021-01-21,202101,202102,daily_max(volume),172511.0,313694.0,22296.0,32225.0
