datetime,symbol,contract_month,session,open,high,low,close,volume,open_interest
2015-01-05,MTX,201501,regular,9243.0,9276.0,9156.0,9251.0,68927,22021
2015-01-06,MTX,201501,regular,9147.0,9153.0,9018.0,9056.0,82393,20985
2015-01-07,MTX,201501,regular,9043.0,9093.0,9033.0,9046.0,54274,21082
2015-01-08,MTX,201501,regular,9115.0,9259.0,9115.0,9258.0,70059,21179
2015-01-09,MTX,201501,regular,9333.0,9335.0,9218.0,9231.0,66147,20932
2015-01-12,MTX,201501,regular,9188.0,9239.0,9158.0,9186.0,60912,20376
2015-01-13,MTX,201501,regular,9191.0,9275.0,9159.0,9252.0,70757,20701
2015-01-14,MTX,201501,regular,9238.0,9247.0,9152.0,9171.0,67761,18714
2015-01-15,MTX,201501,regular,9186.0,9229.0,9130.0,9198.0,65341,17503
2015-01-16,MTX,201501,regular,9174.0,9229.0,9081.0,9118.0,85591,16681
2015-01-19,MTX,201501,regular,9208.0,9259.0,9141.0,9183.0,70562,14590
2015-01-20,MTX,201501,regular,9222.0,9270.0,9182.0,9269.0,59714,13998
2015-01-21,MTX,201501,regular,9280.0,9317.0,9273.0,9308.0,27343,6858
2015-01-22,MTX,201502,regular,9357.0,9404.0,9342.0,9388.0,59567,21884
2015-01-23,MTX,201502,regular,9450.0,9488.0,9443.0,9464.0,50905,22406
2015-01-26,MTX,201502,regular,9446.0,9479.0,9432.0,9465.0,39126,23991
2015-01-27,MTX,201502,regular,9522.0,9539.0,9480.0,9524.0,51972,25017
2015-01-28,MTX,201502,regular,9475.0,9535.0,9473.0,9529.0,42683,24888
2015-01-29,MTX,201502,regular,9495.0,9503.0,9426.0,9428.0,67680,22479
2015-01-30,MTX,201502,regular,9457.0,9472.0,9385.0,9398.0,58451,22972
2015-02-02,MTX,201502,regular,9387.0,9433.0,9370.0,9422.0,47728,24161
2015-02-03,MTX,201502,regular,9439.0,9485.0,9407.0,9464.0,55383,24619
2015-02-04,MTX,201502,regular,9526.0,9557.0,9511.0,9523.0,45551,22864
2015-02-05,MTX,201502,regular,9520.0,9520.0,9470.0,9514.0,44818,23405
2015-02-06,MTX,201502,regular,9541.0,9543.0,9459.0,9467.0,54188,23003
2015-02-09,MTX,201502,regular,9436.0,9465.0,9415.0,9450.0,41901,23244
2015-02-10,MTX,201502,regular,9470.0,9474.0,9418.0,9435.0,43782,23358
2015-02-11,MTX,201502,regular,9460.0,9510.0,9457.0,9480.0,45274,19406
2015-02-12,MTX,201502,regular,9495.0,9500.0,9462.0,9484.0,33438,15958
2015-02-13,MTX,201502,regular,9512.0,9549.0,9505.0,9516.0,36215,11998
2015-02-24,MTX,201502,regular,9580.0,9640.0,9579.0,9623.0,20365,8781
2015-02-25,MTX,201503,regular,9696.0,9696.0,9660.0,9683.0,35712,20337
2015-02-26,MTX,201503,regular,9687.0,9691.0,9634.0,9649.0,42981,20100
2015-03-02,MTX,201503,regular,9655.0,9683.0,9616.0,9631.0,45072,21309
2015-03-03,MTX,201503,regular,9645.0,9658.0,9581.0,9615.0,50290,20923
2015-03-04,MTX,201503,regular,9580.0,9638.0,9571.0,9622.0,43582,19361
2015-03-05,MTX,201503,regular,9622.0,9633.0,9551.0,9589.0,55280,19268
2015-03-06,MTX,201503,regular,9592.0,9643.0,9566.0,9638.0,49625,19596
2015-03-09,MTX,201503,regular,9583.0,9595.0,9548.0,9575.0,51218,19456
2015-03-10,MTX,201503,regular,9575.0,9585.0,9514.0,9529.0,57183,21923
2015-03-11,MTX,201503,regular,9464.0,9545.0,9450.0,9521.0,59167,18755
2015-03-12,MTX,201503,regular,9528.0,9610.0,9508.0,9610.0,57966,18160
2015-03-13,MTX,201503,regular,9617.0,9633.0,9583.0,9597.0,43667,16541
2015-03-16,MTX,201503,regular,9586.0,9594.0,9535.0,9544.0,43060,15317
2015-03-17,MTX,201503,regular,9580.0,9645.0,9548.0,9555.0,55820,12233
2015-03-18,MTX,201503,regular,9556.0,9648.0,9556.0,9633.0,32203,6810
2015-03-19,MTX,201504,regular,9737.0,9769.0,9707.0,9767.0,53673,25629
2015-03-20,MTX,201504,regular,9741.0,9769.0,9733.0,9758.0,37124,24768
2015-03-23,MTX,201504,regular,9759.0,9770.0,9726.0,9750.0,38440,25439
2015-03-24,MTX,201504,regular,9728.0,9754.0,9696.0,9719.0,48988,24033
2015-03-25,MTX,201504,regular,9720.0,9730.0,9673.0,9688.0,49428,22209
2015-03-26,MTX,201504,regular,9590.0,9635.0,9568.0,9611.0,59255,19930
2015-03-27,MTX,201504,regular,9611.0,9627.0,9525.0,9542.0,65490,22996
2015-03-30,MTX,201504,regular,9511.0,9562.0,9510.0,9556.0,45075,22810
2015-03-31,MTX,201504,regular,9602.0,9610.0,9544.0,9583.0,55325,22585
2015-04-01,MTX,201504,regular,9545.0,9552.0,9487.0,9507.0,56597,21903
2015-04-02,MTX,201504,regular,9535.0,9630.0,9534.0,9616.0,61497,19746
2015-04-07,MTX,201504,regular,9650.0,9660.0,9611.0,9629.0,38721,20141
2015-04-08,MTX,201504,regular,9630.0,9635.0,9558.0,9570.0,51377,19186
2015-04-09,MTX,201504,regular,9576.0,9675.0,9563.0,9572.0,84039,17742
2015-04-10,MTX,201504,regular,9625.0,9665.0,9591.0,9633.0,69412,16809
2015-04-13,MTX,201504,regular,9670.0,9683.0,9633.0,9657.0,41237,16059
2015-04-14,MTX,201504,regular,9641.0,9673.0,9626.0,9645.0,37213,13343
2015-04-15,MTX,201504,regular,9628.0,9655.0,9507.0,9520.0,39098,6520
2015-04-16,MTX,201505,regular,9560.0,9648.0,9548.0,9646.0,67101,21886
2015-04-17,MTX,201505,regular,9619.0,9630.0,9568.0,9582.0,60534,22058
2015-04-20,MTX,201505,regular,9526.0,9583.0,9506.0,9565.0,67883,23220
2015-04-21,MTX,201505,regular,9588.0,9613.0,9534.0,9556.0,60272,24869
2015-04-22,MTX,201505,regular,9558.0,9636.0,9557.0,9614.0,71220,22178
2015-04-23,MTX,201505,regular,9657.0,9853.0,9652.0,9838.0,96994,26968
2015-04-24,MTX,201505,regular,9880.0,9999.0,9861.0,9920.0,108205,28296
2015-04-27,MTX,201505,regular,9952.0,10031.0,9946.0,10020.0,73673,29931
