datetime,symbol,contract_month,session,open,high,low,close,volume,open_interest
2024-07-29,TMF,202408,regular,22400,22511,22150,22259,20226,2908
2024-07-30,TMF,202408,regular,21930,22300,21810,22259,31555,4888
2024-07-31,TMF,202408,regular,21999,22348,21999,22288,30497,8666
2024-08-01,TMF,202408,regular,22719,22727,22461,22655,32229,10812
2024-08-02,TMF,202408,regular,22008,22099,21508,21536,47865,19296
2024-08-05,TMF,202408,regular,20737,20747,19374,19374,75624,23000
2024-08-06,TMF,202408,regular,20395,20788,19604,20422,88059,15357
2024-08-07,TMF,202408,regular,20461,21334,20401,21135,74527,23208
2024-08-08,TMF,202408,regular,20700,21080,20550,20693,79361,25736
2024-08-09,TMF,202408,regular,21339,21591,21140,21475,83515,31459
2024-08-12,TMF,202408,regular,21620,21894,21604,21671,61240,30300
2024-08-13,TMF,202408,regular,21835,21898,21663,21770,49681,30323
2024-08-14,TMF,202408,regular,22149,22156,21910,21983,52486,29253
2024-08-15,TMF,202408,regular,21990,22114,21837,21844,49300,29886
2024-08-16,TMF,202408,regular,22366,22445,22278,22369,41632,22570
2024-08-19,TMF,202408,regular,22396,22520,22321,22356,45172,20378
2024-08-20,TMF,202408,regular,22557,22573,22390,22438,33764,18066
2024-08-21,TMF,202408,regular,22288,22343,22152,22199,25707,10603
2024-08-22,TMF,202409,regular,22232,22275,22026,22101,44256,23032
2024-08-23,TMF,202409,regular,21917,22170,21868,22123,50679,27362
2024-08-26,TMF,202409,regular,22245,22450,22133,22205,57549,29147
2024-08-27,TMF,202409,regular,22114,22207,21998,22154,43332,29924
2024-08-28,TMF,202409,regular,22202,22411,22050,22401,55392,29734
2024-08-29,TMF,202409,regular,22000,22244,21901,22175,58194,23094
2024-08-30,TMF,202409,regular,22291,22364,22213,22320,45522,21934
2024-09-02,TMF,202409,regular,22320,22445,22173,22220,54744,27840
2024-09-03,TMF,202409,regular,22200,22313,22012,22060,53582,29954
2024-09-04,TMF,202409,regular,21230,21344,20826,20938,91334,28371
2024-09-05,TMF,202409,regular,21297,21452,21057,21179,67446,29048
2024-09-06,TMF,202409,regular,21271,21433,21015,21318,74916,27560
2024-09-09,TMF,202409,regular,20677,21124,20625,21078,78748,29344
2024-09-10,TMF,202409,regular,21250,21258,20906,20995,82150,30575
2024-09-11,TMF,202409,regular,21110,21128,20950,21006,58980,30024
2024-09-12,TMF,202409,regular,21575,21779,21463,21711,66409,34358
2024-09-13,TMF,202409,regular,21776,21832,21658,21818,42341,32546
2024-09-16,TMF,202409,regular,21818,21868,21735,21813,32164,31224
2024-09-18,TMF,202409,regular,21736,21874,21562,21618,34588,11673
2024-09-19,TMF,202410,regular,21751,22080,21663,22075,64390,20608
2024-09-20,TMF,202410,regular,22346,22425,22188,22216,58892,20523
2024-09-23,TMF,202410,regular,22280,22391,22258,22340,44714,21660
2024-09-24,TMF,202410,regular,22305,22507,22153,22493,62295,22895
2024-09-25,TMF,202410,regular,22833,22859,22740,22794,43394,22397
2024-09-26,TMF,202410,regular,23007,23076,22894,22957,52820,22874
2024-09-27,TMF,202410,regular,23199,23199,22877,22885,65109,24231
2024-09-30,TMF,202410,regular,22668,22755,22315,22326,75967,27814
2024-10-01,TMF,202410,regular,22242,22462,22237,22390,54433,25107
2024-10-04,TMF,202410,regular,22302,22506,22251,22286,70467,24044
2024-10-07,TMF,202410,regular,22570,22807,22538,22777,62296,22361
2024-10-08,TMF,202410,regular,22603,22631,22394,22580,60433,25274
2024-10-09,TMF,202410,regular,22781,22880,22668,22699,54140,21796
2024-10-11,TMF,202410,regular,22822,23048,22796,22912,55204,21482
2024-10-14,TMF,202410,regular,23000,23048,22820,23005,48232,20156
2024-10-15,TMF,202410,regular,23160,23385,23102,23227,45473,17696
