rollover_date,old_contract,new_contract,reason,old_volume,new_volume,old_open_interest,new_open_interest
2024-07-29,,202408,initial,,20226,,2908
2024-08-22,,202409,expired,,44256,,23032
2024-09-19,,202410,expired,,64390,,20608
2024-10-17,,202411,expired,,63918,,19938
2024-11-21,,202412,expired,,67815,,41281
2024-12-19,,202501,expired,,70051,,32081
2025-01-16,,202502,expired,,67052,,30557
2025-02-20,,202503,expired,,64324,,25123
2025-03-20,,202504,expired,,67017,,34507
2025-04-17,,202505,expired,,103605,,26758
2025-05-22,,202506,expired,,56887,,27856
2025-06-19,,202507,expired,,59807,,35141
2025-07-17,,202508,expired,,69450,,33681
2025-08-21,,202509,expired,,71709,,35779
2025-09-18,,202510,expired,,65154,,39620
2025-10-16,,202511,expired,,102900,,39105
2025-11-20,,202512,expired,,113398,,40057
2025-12-18,,202601,expired,,94612,,48691
