check,status,details
required_column:signal_date,OK,
required_column:signal_bar_index,OK,
required_column:entry_execution_date,OK,
required_column:entry_bar_index,OK,
required_column:exit_date,OK,
required_column:exit_bar_index,OK,
required_column:direction,OK,
required_column:entry_price,OK,
required_column:exit_price,OK,
required_column:pnl_points,OK,
required_column:pnl_amount,OK,
required_column:exit_reason,OK,
required_column:entry_reason,OK,
trade_0001:entry_is_next_bar,OK,"signal_i=30, entry_i=31"
trade_0001:entry_after_signal_date,OK,"signal=2015-02-24 00:00:00, entry=2015-02-25 00:00:00"
trade_0001:exit_not_before_entry,OK,"entry_i=31, exit_i=34"
trade_0001:signal_column_true,OK,long_entry@30
trade_0001:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0001:entry_price,OK,"actual=9697.0, expected=9697.0"
trade_0001:entry_date_matches_index,OK,"actual=2015-02-25 00:00:00, index_dt=2015-02-25 00:00:00"
trade_0001:exit_bar_index,OK,"actual=34, expected=34"
trade_0001:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0001:exit_price,OK,"actual=9596.0, expected=9596.0"
trade_0001:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0001:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0002:entry_is_next_bar,OK,"signal_i=46, entry_i=47"
trade_0002:entry_after_signal_date,OK,"signal=2015-03-19 00:00:00, entry=2015-03-20 00:00:00"
trade_0002:exit_not_before_entry,OK,"entry_i=47, exit_i=51"
trade_0002:signal_column_true,OK,long_entry@46
trade_0002:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0002:entry_price,OK,"actual=9742.0, expected=9742.0"
trade_0002:entry_date_matches_index,OK,"actual=2015-03-20 00:00:00, index_dt=2015-03-20 00:00:00"
trade_0002:exit_bar_index,OK,"actual=51, expected=51"
trade_0002:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0002:exit_price,OK,"actual=9589.0, expected=9589.0"
trade_0002:pnl_points,OK,"actual=-153.0, expected=-153.0"
trade_0002:pnl_amount,OK,"actual=-7690.0, expected=-7690.0"
trade_0003:entry_is_next_bar,OK,"signal_i=51, entry_i=52"
trade_0003:entry_after_signal_date,OK,"signal=2015-03-26 00:00:00, entry=2015-03-27 00:00:00"
trade_0003:exit_not_before_entry,OK,"entry_i=52, exit_i=69"
trade_0003:signal_column_true,OK,short_entry@51
trade_0003:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0003:entry_price,OK,"actual=9610.0, expected=9610.0"
trade_0003:entry_date_matches_index,OK,"actual=2015-03-27 00:00:00, index_dt=2015-03-27 00:00:00"
