datetime,equity
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-24,0.0
2015-02-25,-700.0
2015-02-26,-2400.0
2015-03-02,-3300.0
2015-03-03,-5090.0
2015-03-04,-5090.0
2015-03-05,-5090.0
2015-03-06,-5090.0
2015-03-09,-5090.0
2015-03-10,-5090.0
2015-03-11,-5090.0
2015-03-12,-5090.0
2015-03-13,-5090.0
2015-03-16,-5090.0
2015-03-17,-5090.0
2015-03-18,-5090.0
2015-03-19,-5090.0
2015-03-20,-4290.0
2015-03-23,-4690.0
2015-03-24,-6240.0
2015-03-25,-7790.0
2015-03-26,-12780.0
2015-03-27,-9380.0
2015-03-30,-10080.0
2015-03-31,-11430.0
2015-04-01,-7630.0
2015-04-02,-13080.0
2015-04-07,-13730.0
2015-04-08,-10780.0
2015-04-09,-10880.0
2015-04-10,-13930.0
2015-04-13,-15130.0
2015-04-14,-14530.0
2015-04-15,-8280.0
2015-04-16,-14580.0
2015-04-17,-11380.0
2015-04-20,-10530.0
2015-04-21,-10080.0
2015-04-22,-12980.0
2015-04-23,-17870.0
2015-04-24,-15920.0
2015-04-27,-10920.0
2015-04-28,-12470.0
2015-04-29,-16620.0
2015-04-30,-18170.0
2015-05-04,-17670.0
2015-05-05,-19570.0
2015-05-06,-22960.0
2015-05-07,-22960.0
2015-05-08,-22960.0
2015-05-11,-22960.0
2015-05-12,-22960.0
2015-05-13,-22960.0
2015-05-14,-22960.0
2015-05-15,-22960.0
2015-05-18,-22960.0
2015-05-19,-22960.0
2015-05-20,-22960.0
2015-05-21,-22960.0
2015-05-22,-22960.0
2015-05-25,-22960.0
2015-05-26,-22960.0
2015-05-27,-22960.0
2015-05-28,-22960.0
2015-05-29,-22960.0
2015-06-01,-24900.0
2015-06-02,-25600.0
2015-06-03,-22750.0
2015-06-04,-10850.0
2015-06-05,-10800.0
2015-06-08,-12850.0
2015-06-09,-7200.0
2015-06-10,-9700.0
2015-06-11,-9650.0
2015-06-12,-8700.0
2015-06-15,-7600.0
2015-06-16,-6100.0
2015-06-17,-4350.0
2015-06-18,2200.0
2015-06-22,-4350.0
2015-06-23,-6950.0
2015-06-24,-7700.0
2015-06-25,-12590.0
2015-06-26,-12590.0
2015-06-29,-12590.0
2015-06-30,-12590.0
2015-07-01,-12590.0
2015-07-02,-12590.0
2015-07-03,-12590.0
2015-07-06,-12590.0
2015-07-07,-12590.0
2015-07-08,-12590.0
2015-07-09,-17680.0
2015-07-13,-17680.0
2015-07-14,-17680.0
2015-07-15,-17680.0
2015-07-16,-17680.0
2015-07-17,-17680.0
2015-07-20,-17680.0
2015-07-21,-17680.0
2015-07-22,-17680.0
2015-07-23,-17680.0
2015-07-24,-17680.0
2015-07-27,-17680.0
2015-07-28,-17680.0
2015-07-29,-17680.0
2015-07-30,-17680.0
2015-07-31,-17680.0
2015-08-03,-17680.0
2015-08-04,-17680.0
2015-08-05,-17680.0
2015-08-06,-17680.0
2015-08-07,-17680.0
2015-08-10,-17680.0
2015-08-11,-17680.0
2015-08-12,-17680.0
2015-08-13,-17680.0
2015-08-14,-17680.0
2015-08-17,-17680.0
2015-08-18,-14530.0
2015-08-19,-5980.0
2015-08-20,-4580.0
2015-08-21,6720.0
2015-08-24,26820.0
2015-08-25,15180.0
2015-08-26,15180.0
2015-08-27,15180.0
2015-08-28,15180.0
2015-08-31,15180.0
2015-09-01,15180.0
2015-09-02,15180.0
2015-09-03,15180.0
2015-09-04,15180.0
2015-09-07,15180.0
2015-09-08,15180.0
2015-09-09,15180.0
2015-09-10,15180.0
2015-09-11,15180.0
2015-09-14,15180.0
2015-09-15,15180.0
2015-09-16,15180.0
2015-09-17,15180.0
2015-09-18,15180.0
2015-09-21,15180.0
2015-09-22,15180.0
2015-09-23,15180.0
2015-09-24,15180.0
2015-09-25,15180.0
2015-09-30,15180.0
2015-10-01,15180.0
2015-10-02,15180.0
2015-10-05,15180.0
2015-10-06,15180.0
2015-10-07,15180.0
2015-10-08,15180.0
2015-10-12,15180.0
2015-10-13,15180.0
2015-10-14,15180.0
2015-10-15,15180.0
2015-10-16,15180.0
2015-10-19,15180.0
2015-10-20,15180.0
2015-10-21,15180.0
2015-10-22,15180.0
2015-10-23,15180.0
2015-10-26,15180.0
2015-10-27,15180.0
2015-10-28,15180.0
2015-10-29,15180.0
2015-10-30,15180.0
2015-11-02,15180.0
2015-11-03,15180.0
2015-11-04,15180.0
2015-11-05,14930.0
2015-11-06,10090.0
2015-11-09,10090.0
2015-11-10,12440.0
2015-11-11,20190.0
2015-11-12,15990.0
2015-11-13,21240.0
2015-11-16,24690.0
2015-11-17,17090.0
2015-11-18,22240.0
2015-11-19,16540.0
2015-11-20,16790.0
2015-11-23,15040.0
2015-11-24,18890.0
2015-11-25,19690.0
2015-11-26,13940.0
2015-11-27,19490.0
2015-11-30,24090.0
2015-12-01,16090.0
2015-12-02,16290.0
2015-12-03,15250.0
