signal_date,signal_bar_index,entry_date,entry_execution_date,entry_bar_index,exit_date,exit_bar_index,direction,entry_price,exit_price,quantity,pnl_points,pnl_amount,holding_bars,exit_reason,entry_reason
2015-02-24,30,2015-02-25,2015-02-25,31,2015-03-03,34,long,9697.0,9596.0,1,-101.0,-5090.0,4,fixed_stop,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-03-19,46,2015-03-20,2015-03-20,47,2015-03-26,51,long,9742.0,9589.0,1,-153.0,-7690.0,5,fixed_stop,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-03-26,51,2015-03-27,2015-03-27,52,2015-04-23,69,short,9610.0,9711.0,1,-101.0,-5090.0,18,fixed_stop,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-04-23,69,2015-04-24,2015-04-24,70,2015-05-06,77,long,9881.0,9780.0,1,-101.0,-5090.0,8,fixed_stop,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-05-29,94,2015-06-01,2015-06-01,95,2015-06-01,95,long,9668.0,9630.0,1,-38.0,-1940.0,1,chandelier,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-06-01,95,2015-06-02,2015-06-02,96,2015-06-25,112,short,9591.0,9344.0,1,247.0,12310.0,17,chandelier,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-07-08,121,2015-07-09,2015-07-09,122,2015-07-09,122,short,8801.0,8902.0,1,-101.0,-5090.0,1,fixed_stop,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-08-17,148,2015-08-18,2015-08-18,149,2015-08-25,154,short,8235.0,7577.0,1,658.0,32860.0,6,chandelier,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-11-04,202,2015-11-05,2015-11-05,203,2015-11-06,204,long,8878.0,8777.0,1,-101.0,-5090.0,2,fixed_stop,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-11-09,205,2015-11-10,2015-11-10,206,2015-12-03,223,short,8579.0,8475.0,1,104.0,5160.0,18,macd_reverse,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-12-03,223,2015-12-04,2015-12-04,224,2015-12-04,224,long,8366.0,8393.0,1,27.0,1310.0,1,chandelier,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-12-04,224,2015-12-07,2015-12-07,225,2015-12-07,225,short,8499.0,8469.0,1,30.0,1460.0,1,macd_reverse,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-12-07,225,2015-12-08,2015-12-08,226,2015-12-08,226,long,8441.0,8340.0,1,-101.0,-5090.0,1,fixed_stop,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""period"": 20})"
2015-12-08,226,2015-12-09,2015-12-09,227,2015-12-21,235,short,8302.0,8284.0,1,18.0,860.0,9,macd_reverse,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""period"": 20})"
